Entity,Population,latitude,longitude
Swaziland,1462954,-26.522503,31.465866
Sweden,10188119,60.128161,18.643501
Switzerland,8731111,46.818188,8.227512
Syria,19586107,34.802075,38.996815
Taiwan,23872680,23.69781,120.960515
Tajikistan,9656648,38.861034,71.276093
Tanzania,64673854,-6.369028,34.888822
Thailand,69498124,15.870032,100.992541
Togo,8584627,8.619543,0.824782
Tonga,111993,-21.178986,-175.198242
Trinidad and Tobago,1379418,10.691803,-61.222503
Tunisia,12018514,33.886917,9.537499
Turkey,84514623,38.963745,35.243322
Turkmenistan,6117011,38.969719,59.556278
Tuvalu,11609,-7.109535,177.64933
Uganda,48698086,1.373333,32.290275
Ukraine,43360970,48.379433,31.16558
United Arab Emirates,9937479,23.424076,53.847818
United Kingdom,67699483,55.378051,-3.435973
United States,333783196,37.09024,-95.712891
Uruguay,3506138,-32.522779,-55.765835
Uzbekistan,33648956,41.377491,64.585262
Vanuatu,299872,-15.376706,166.959158
Venezuela,33558483,6.42375,-66.58973
Vietnam,99284146,14.058324,108.277199
Yemen,30910815,15.552727,48.516388
Zambia,19234791,-13.133897,27.849332
Zimbabwe,18060453,-19.015438,29.154857
